game_count,p1,p1_score,p2,p2_score
1,dqn,28,greedy,26
2,dqn,29,greedy,22
3,dqn,29,greedy,22
4,dqn,32,greedy,18
5,dqn,50,greedy,28
6,dqn,28,greedy,23
7,dqn,37,greedy,23
8,dqn,23,greedy,23
9,dqn,34,greedy,19
10,dqn,33,greedy,21
11,dqn,44,greedy,18
12,dqn,38,greedy,27
13,dqn,32,greedy,14
14,dqn,19,greedy,19
15,dqn,34,greedy,23
16,dqn,41,greedy,22
17,dqn,50,greedy,23
18,dqn,14,greedy,28
19,dqn,50,greedy,24
20,dqn,19,greedy,21
21,dqn,37,greedy,27
22,dqn,49,greedy,13
23,dqn,37,greedy,30
24,dqn,32,greedy,28
25,dqn,24,greedy,23
26,dqn,43,greedy,14
27,dqn,20,greedy,24
28,dqn,33,greedy,30
29,dqn,29,greedy,27
30,dqn,29,greedy,22
31,dqn,28,greedy,22
32,dqn,33,greedy,22
33,dqn,54,greedy,24
34,dqn,33,greedy,15
35,dqn,36,greedy,22
36,dqn,15,greedy,30
37,dqn,35,greedy,24
38,dqn,24,greedy,23
39,dqn,50,greedy,21
40,dqn,32,greedy,22
41,dqn,29,greedy,27
42,dqn,24,greedy,30
43,dqn,35,greedy,22
44,dqn,24,greedy,26
45,dqn,54,greedy,22
46,dqn,36,greedy,22
47,dqn,20,greedy,18
48,dqn,27,greedy,16
49,dqn,24,greedy,22
50,dqn,25,greedy,22
51,dqn,37,greedy,19
52,dqn,28,greedy,23
53,dqn,24,greedy,23
54,dqn,18,greedy,25
55,dqn,29,greedy,26
56,dqn,36,greedy,25
57,dqn,39,greedy,25
58,dqn,36,greedy,27
59,dqn,33,greedy,14
60,dqn,41,greedy,25
61,dqn,37,greedy,13
62,dqn,18,greedy,28
63,dqn,33,greedy,20
64,dqn,34,greedy,28
65,dqn,33,greedy,18
66,dqn,22,greedy,23
67,dqn,37,greedy,22
68,dqn,44,greedy,24
69,dqn,46,greedy,26
70,dqn,24,greedy,18
71,dqn,39,greedy,22
72,dqn,29,greedy,18
73,dqn,48,greedy,18
74,dqn,28,greedy,28
75,dqn,50,greedy,29
76,dqn,53,greedy,12
77,dqn,51,greedy,30
78,dqn,20,greedy,25
79,dqn,32,greedy,29
80,dqn,38,greedy,19
81,dqn,37,greedy,23
82,dqn,24,greedy,25
83,dqn,24,greedy,30
84,dqn,32,greedy,31
85,dqn,20,greedy,16
86,dqn,36,greedy,26
87,dqn,54,greedy,18
88,dqn,24,greedy,15
89,dqn,44,greedy,28
90,dqn,40,greedy,22
91,dqn,37,greedy,22
92,dqn,41,greedy,19
93,dqn,24,greedy,22
94,dqn,33,greedy,24
95,dqn,36,greedy,21
96,dqn,19,greedy,22
97,dqn,42,greedy,25
98,dqn,27,greedy,21
99,dqn,42,greedy,16
100,dqn,36,greedy,24
