game_count,p1,p1_score,p2,p2_score
121,mcts,15,greedy,24
122,mcts,17,greedy,29
115,mcts,10,greedy,26
123,mcts,15,greedy,33
116,mcts,13,greedy,32
124,mcts,37,greedy,39
117,mcts,33,greedy,24
125,mcts,14,greedy,21
118,mcts,18,greedy,34
126,mcts,14,greedy,20
119,mcts,33,greedy,26
127,mcts,32,greedy,41
120,mcts,13,greedy,34
128,mcts,17,greedy,26
121,mcts,26,greedy,31
122,mcts,15,greedy,33
129,mcts,13,greedy,24
130,mcts,24,greedy,46
123,mcts,10,greedy,30
131,mcts,10,greedy,30
124,mcts,15,greedy,26
132,mcts,23,greedy,20
125,mcts,19,greedy,32
133,mcts,33,greedy,35
126,mcts,20,greedy,29
134,mcts,23,greedy,29
127,mcts,19,greedy,17
135,mcts,21,greedy,22
128,mcts,51,greedy,21
136,mcts,18,greedy,22
129,mcts,14,greedy,27
137,mcts,23,greedy,25
130,mcts,23,greedy,30
138,mcts,21,greedy,28
131,mcts,19,greedy,25
139,mcts,28,greedy,24
132,mcts,16,greedy,22
140,mcts,17,greedy,36
133,mcts,34,greedy,18
141,mcts,14,greedy,23
134,mcts,15,greedy,40
142,mcts,23,greedy,24
135,mcts,17,greedy,32
143,mcts,14,greedy,30
136,mcts,18,greedy,33
144,mcts,18,greedy,41
137,mcts,20,greedy,28
145,mcts,11,greedy,30
138,mcts,19,greedy,28
146,mcts,19,greedy,28
139,mcts,53,greedy,13
147,mcts,18,greedy,26
140,mcts,14,greedy,26
148,mcts,38,greedy,27
141,mcts,30,greedy,28
149,mcts,28,greedy,18
142,mcts,18,greedy,28
150,mcts,23,greedy,18
143,mcts,19,greedy,29
151,mcts,14,greedy,21
144,mcts,5,greedy,48
152,mcts,5,greedy,56
145,mcts,19,greedy,28
153,mcts,18,greedy,23
146,mcts,17,greedy,35
154,mcts,15,greedy,25
147,mcts,15,greedy,27
155,mcts,47,greedy,26
148,mcts,19,greedy,26
156,mcts,18,greedy,30
149,mcts,48,greedy,21
157,mcts,24,greedy,31
158,mcts,24,greedy,25
150,mcts,14,greedy,26
159,mcts,54,greedy,23
151,mcts,16,greedy,32
160,mcts,24,greedy,32
152,mcts,14,greedy,39
161,mcts,14,greedy,42
153,mcts,9,greedy,29
162,mcts,35,greedy,25
154,mcts,14,greedy,23
163,mcts,23,greedy,40
155,mcts,26,greedy,29
164,mcts,52,greedy,27
156,mcts,15,greedy,28
165,mcts,19,greedy,33
157,mcts,19,greedy,30
166,mcts,17,greedy,23
158,mcts,19,greedy,22
167,mcts,14,greedy,31
159,mcts,24,greedy,33
168,mcts,27,greedy,22
160,mcts,37,greedy,29
169,mcts,28,greedy,24
161,mcts,23,greedy,34
170,mcts,10,greedy,49
162,mcts,19,greedy,26
171,mcts,5,greedy,28
163,mcts,18,greedy,29
172,mcts,14,greedy,33
164,mcts,29,greedy,37
173,mcts,17,greedy,37
165,mcts,9,greedy,32
174,mcts,18,greedy,34
166,mcts,24,greedy,20
175,mcts,12,greedy,42
167,mcts,14,greedy,33
176,mcts,15,greedy,31
168,mcts,5,greedy,54
177,mcts,24,greedy,28
169,mcts,14,greedy,36
178,mcts,14,greedy,27
170,mcts,19,greedy,34
179,mcts,5,greedy,32
171,mcts,13,greedy,38
180,mcts,28,greedy,23
172,mcts,19,greedy,32
181,mcts,21,greedy,23
173,mcts,23,greedy,18
182,mcts,42,greedy,27
174,mcts,19,greedy,40
183,mcts,25,greedy,19
175,mcts,24,greedy,30
184,mcts,17,greedy,34
176,mcts,14,greedy,18
185,mcts,21,greedy,38
177,mcts,20,greedy,32
186,mcts,15,greedy,32
178,mcts,61,greedy,16
187,mcts,18,greedy,34
179,mcts,16,greedy,23
188,mcts,10,greedy,27
180,mcts,13,greedy,28
189,mcts,33,greedy,25
181,mcts,19,greedy,14
190,mcts,13,greedy,35
182,mcts,18,greedy,33
191,mcts,15,greedy,22
183,mcts,24,greedy,34
192,mcts,25,greedy,33
184,mcts,17,greedy,39
193,mcts,31,greedy,36
185,mcts,24,greedy,35
194,mcts,10,greedy,29
186,mcts,24,greedy,35
195,mcts,22,greedy,35
187,mcts,23,greedy,34
188,mcts,40,greedy,32
196,mcts,13,greedy,33
189,mcts,15,greedy,36
197,mcts,13,greedy,25
190,mcts,23,greedy,21
198,mcts,27,greedy,31
191,mcts,20,greedy,33
199,mcts,23,greedy,22
192,mcts,15,greedy,44
200,mcts,15,greedy,42
193,mcts,32,greedy,31
201,mcts,14,greedy,29
194,mcts,18,greedy,24
202,mcts,19,greedy,40
195,mcts,4,greedy,36
203,mcts,14,greedy,23
196,mcts,19,greedy,18
204,mcts,13,greedy,30
197,mcts,23,greedy,32
205,mcts,10,greedy,50
198,mcts,13,greedy,29
206,mcts,56,greedy,18
199,mcts,15,greedy,29
207,mcts,18,greedy,25
200,mcts,22,greedy,35
208,mcts,9,greedy,34
201,mcts,14,greedy,25
209,mcts,19,greedy,26
210,mcts,19,greedy,32
202,mcts,15,greedy,27
211,mcts,26,greedy,32
203,mcts,15,greedy,21
212,mcts,41,greedy,35
204,mcts,19,greedy,31
213,mcts,51,greedy,25
205,mcts,14,greedy,32
214,mcts,14,greedy,27
206,mcts,14,greedy,32
215,mcts,18,greedy,23
207,mcts,28,greedy,30
216,mcts,19,greedy,27
208,mcts,29,greedy,35
217,mcts,10,greedy,43
209,mcts,18,greedy,31
218,mcts,14,greedy,26
210,mcts,24,greedy,30
219,mcts,29,greedy,23
211,mcts,30,greedy,24
220,mcts,15,greedy,32
212,mcts,31,greedy,20
213,mcts,24,greedy,29
221,mcts,13,greedy,34
214,mcts,15,greedy,21
222,mcts,24,greedy,17
215,mcts,27,greedy,30
223,mcts,8,greedy,35
216,mcts,43,greedy,19
224,mcts,30,greedy,23
217,mcts,29,greedy,39
225,mcts,38,greedy,24
218,mcts,18,greedy,37
226,mcts,29,greedy,25
219,mcts,18,greedy,30
227,mcts,9,greedy,26
220,mcts,20,greedy,21
228,mcts,23,greedy,27
221,mcts,10,greedy,26
229,mcts,9,greedy,41
222,mcts,30,greedy,27
230,mcts,28,greedy,32
231,mcts,51,greedy,27
223,mcts,15,greedy,27
232,mcts,11,greedy,42
224,mcts,18,greedy,27
233,mcts,20,greedy,25
225,mcts,14,greedy,28
234,mcts,8,greedy,44
226,mcts,27,greedy,36
227,mcts,23,greedy,32
235,mcts,13,greedy,24
228,mcts,23,greedy,34
236,mcts,28,greedy,33
229,mcts,29,greedy,16
237,mcts,15,greedy,30
230,mcts,19,greedy,39
238,mcts,20,greedy,25
231,mcts,24,greedy,20
239,mcts,24,greedy,22
232,mcts,10,greedy,40
240,mcts,14,greedy,43
233,mcts,12,greedy,26
241,mcts,8,greedy,38
234,mcts,27,greedy,22
242,mcts,14,greedy,31
235,mcts,10,greedy,32
243,mcts,18,greedy,29
236,mcts,13,greedy,30
244,mcts,15,greedy,30
237,mcts,27,greedy,27
245,mcts,18,greedy,30
238,mcts,14,greedy,30
246,mcts,18,greedy,30
239,mcts,27,greedy,24
247,mcts,17,greedy,15
240,mcts,18,greedy,31
248,mcts,14,greedy,27
241,mcts,17,greedy,34
249,mcts,19,greedy,23
242,mcts,42,greedy,32
250,mcts,38,greedy,34
243,mcts,18,greedy,31
251,mcts,19,greedy,26
244,mcts,24,greedy,32
252,mcts,31,greedy,14
245,mcts,38,greedy,30
253,mcts,17,greedy,31
246,mcts,8,greedy,27
254,mcts,15,greedy,28
247,mcts,21,greedy,26
255,mcts,14,greedy,37
248,mcts,10,greedy,27
256,mcts,14,greedy,22
249,mcts,37,greedy,22
257,mcts,19,greedy,31
250,mcts,15,greedy,28
258,mcts,10,greedy,26
251,mcts,28,greedy,29
259,mcts,37,greedy,29
252,mcts,9,greedy,34
260,mcts,19,greedy,26
253,mcts,9,greedy,34
261,mcts,23,greedy,26
254,mcts,19,greedy,33
262,mcts,17,greedy,33
255,mcts,3,greedy,61
263,mcts,23,greedy,24
256,mcts,19,greedy,40
264,mcts,14,greedy,38
257,mcts,9,greedy,42
265,mcts,15,greedy,24
258,mcts,20,greedy,25
266,mcts,9,greedy,30
259,mcts,19,greedy,30
267,mcts,23,greedy,28
260,mcts,24,greedy,34
268,mcts,18,greedy,29
261,mcts,14,greedy,30
269,mcts,18,greedy,32
262,mcts,18,greedy,27
270,mcts,22,greedy,40
263,mcts,14,greedy,54
271,mcts,14,greedy,30
264,mcts,19,greedy,27
272,mcts,18,greedy,26
265,mcts,19,greedy,21
273,mcts,18,greedy,34
266,mcts,23,greedy,28
274,mcts,40,greedy,29
267,mcts,8,greedy,31
275,mcts,18,greedy,30
268,mcts,15,greedy,29
276,mcts,41,greedy,27
269,mcts,27,greedy,30
277,mcts,32,greedy,23
270,mcts,21,greedy,21
278,mcts,10,greedy,36
271,mcts,5,greedy,32
279,mcts,29,greedy,31
272,mcts,26,greedy,23
280,mcts,18,greedy,30
281,mcts,17,greedy,27
273,mcts,14,greedy,34
274,mcts,49,greedy,25
282,mcts,19,greedy,31
275,mcts,20,greedy,34
283,mcts,35,greedy,22
276,mcts,43,greedy,29
284,mcts,40,greedy,26
277,mcts,24,greedy,34
285,mcts,24,greedy,41
278,mcts,28,greedy,31
286,mcts,31,greedy,28
279,mcts,28,greedy,31
287,mcts,15,greedy,35
280,mcts,15,greedy,34
288,mcts,28,greedy,30
289,mcts,55,greedy,25
281,mcts,19,greedy,20
282,mcts,12,greedy,36
290,mcts,14,greedy,35
283,mcts,22,greedy,25
291,mcts,4,greedy,31
284,mcts,28,greedy,29
292,mcts,60,greedy,18
285,mcts,27,greedy,28
293,mcts,13,greedy,34
286,mcts,31,greedy,26
294,mcts,9,greedy,33
287,mcts,10,greedy,27
295,mcts,14,greedy,27
288,mcts,14,greedy,28
296,mcts,15,greedy,31
289,mcts,14,greedy,40
297,mcts,15,greedy,22
290,mcts,14,greedy,23
298,mcts,26,greedy,32
291,mcts,23,greedy,39
299,mcts,10,greedy,48
292,mcts,24,greedy,36
300,mcts,42,greedy,13
293,mcts,20,greedy,35
301,mcts,17,greedy,23
294,mcts,19,greedy,21
302,mcts,19,greedy,27
295,mcts,14,greedy,44
303,mcts,10,greedy,45
296,mcts,18,greedy,23
304,mcts,18,greedy,34
297,mcts,18,greedy,27
305,mcts,24,greedy,35
298,mcts,19,greedy,23
306,mcts,17,greedy,26
299,mcts,22,greedy,31
307,mcts,19,greedy,31
300,mcts,19,greedy,27
308,mcts,28,greedy,20
301,mcts,27,greedy,26
309,mcts,23,greedy,28
302,mcts,19,greedy,26
310,mcts,45,greedy,27
303,mcts,23,greedy,25
311,mcts,19,greedy,28
304,mcts,19,greedy,29
312,mcts,14,greedy,21
305,mcts,34,greedy,32
313,mcts,10,greedy,28
306,mcts,16,greedy,24
314,mcts,9,greedy,28
307,mcts,23,greedy,31
315,mcts,28,greedy,20
308,mcts,55,greedy,22
316,mcts,14,greedy,26
309,mcts,10,greedy,39
317,mcts,44,greedy,18
310,mcts,19,greedy,30
311,mcts,18,greedy,38
318,mcts,23,greedy,29
312,mcts,23,greedy,40
319,mcts,23,greedy,35
313,mcts,20,greedy,32
320,mcts,27,greedy,22
314,mcts,19,greedy,30
321,mcts,14,greedy,29
315,mcts,22,greedy,30
322,mcts,19,greedy,24
316,mcts,23,greedy,24
323,mcts,17,greedy,34
317,mcts,33,greedy,28
324,mcts,34,greedy,30
318,mcts,19,greedy,34
325,mcts,28,greedy,34
319,mcts,28,greedy,25
326,mcts,41,greedy,21
320,mcts,24,greedy,21
327,mcts,36,greedy,29
328,mcts,23,greedy,23
321,mcts,16,greedy,34
329,mcts,14,greedy,29
322,mcts,14,greedy,31
330,mcts,19,greedy,32
323,mcts,14,greedy,38
331,mcts,26,greedy,22
324,mcts,10,greedy,20
332,mcts,10,greedy,46
325,mcts,14,greedy,27
333,mcts,25,greedy,22
326,mcts,14,greedy,44
334,mcts,29,greedy,25
327,mcts,28,greedy,22
335,mcts,32,greedy,23
328,mcts,17,greedy,25
336,mcts,19,greedy,27
329,mcts,24,greedy,25
337,mcts,17,greedy,31
330,mcts,29,greedy,28
338,mcts,19,greedy,17
331,mcts,13,greedy,27
339,mcts,10,greedy,25
332,mcts,14,greedy,21
340,mcts,31,greedy,31
333,mcts,51,greedy,29
