game_count,p1,p1_score,p2,p2_score
1,dqn,43,random,33
2,dqn,28,random,37
3,dqn,23,random,38
4,dqn,38,random,24
5,dqn,24,random,34
6,dqn,24,random,31
7,dqn,31,random,37
8,dqn,37,random,42
9,dqn,23,random,38
10,dqn,34,random,29
11,dqn,33,random,28
12,dqn,20,random,31
13,dqn,24,random,31
14,dqn,29,random,34
15,dqn,41,random,33
16,dqn,24,random,37
17,dqn,29,random,28
18,dqn,24,random,34
19,dqn,33,random,34
20,dqn,22,random,48
21,dqn,29,random,33
22,dqn,38,random,36
23,dqn,24,random,29
24,dqn,32,random,38
25,dqn,37,random,34
26,dqn,36,random,33
27,dqn,50,random,38
28,dqn,41,random,35
29,dqn,30,random,23
30,dqn,25,random,32
31,dqn,32,random,32
32,dqn,34,random,42
33,dqn,20,random,37
34,dqn,34,random,33
35,dqn,24,random,34
36,dqn,41,random,33
37,dqn,24,random,33
38,dqn,41,random,32
39,dqn,19,random,33
40,dqn,20,random,38
41,dqn,24,random,37
42,dqn,33,random,33
43,dqn,41,random,43
44,dqn,38,random,37
45,dqn,38,random,38
46,dqn,34,random,32
47,dqn,44,random,35
48,dqn,33,random,38
49,dqn,33,random,33
50,dqn,29,random,43
51,dqn,30,random,33
52,dqn,30,random,37
53,dqn,38,random,28
54,dqn,42,random,36
55,dqn,27,random,29
56,dqn,33,random,38
57,dqn,38,random,39
58,dqn,36,random,32
59,dqn,24,random,32
60,dqn,27,random,38
61,dqn,19,random,33
62,dqn,15,random,36
63,dqn,34,random,33
64,dqn,24,random,28
65,dqn,24,random,33
66,dqn,33,random,39
67,dqn,24,random,38
68,dqn,31,random,42
69,dqn,25,random,28
70,dqn,20,random,29
71,dqn,19,random,42
72,dqn,19,random,38
73,dqn,33,random,33
74,dqn,41,random,33
75,dqn,28,random,33
76,dqn,38,random,37
77,dqn,32,random,31
78,dqn,29,random,37
79,dqn,29,random,36
80,dqn,34,random,27
81,dqn,24,random,32
82,dqn,41,random,29
83,dqn,28,random,40
84,dqn,19,random,32
85,dqn,37,random,28
86,dqn,22,random,42
87,dqn,29,random,38
88,dqn,25,random,34
89,dqn,28,random,37
90,dqn,28,random,26
91,dqn,34,random,37
92,dqn,15,random,30
93,dqn,26,random,38
94,dqn,20,random,39
95,dqn,34,random,33
96,dqn,36,random,35
97,dqn,24,random,32
98,dqn,36,random,33
99,dqn,28,random,35
100,dqn,41,random,32
