game_count,p1,p1_score,p2,p2_score
266,greedy,14,random,39
267,greedy,19,random,37
268,greedy,23,random,23
269,greedy,26,random,28
270,greedy,28,random,53
271,greedy,18,random,49
272,greedy,26,random,28
273,greedy,19,random,52
274,greedy,18,random,32
275,greedy,14,random,39
276,greedy,22,random,59
277,greedy,23,random,49
278,greedy,19,random,64
279,greedy,13,random,42
280,greedy,23,random,27
281,greedy,17,random,50
282,greedy,21,random,33
283,greedy,18,random,47
284,greedy,18,random,56
285,greedy,16,random,52
286,greedy,19,random,29
287,greedy,16,random,32
288,greedy,19,random,29
289,greedy,17,random,55
290,greedy,7,random,58
291,greedy,18,random,24
292,greedy,18,random,23
293,greedy,13,random,42
294,greedy,19,random,34
295,greedy,24,random,46
296,greedy,18,random,24
297,greedy,16,random,43
298,greedy,7,random,55
299,greedy,27,random,32
300,greedy,19,random,50
301,greedy,21,random,45
302,greedy,16,random,28
303,greedy,17,random,28
304,greedy,25,random,52
305,greedy,20,random,47
306,greedy,12,random,50
307,greedy,22,random,58
308,greedy,16,random,55
309,greedy,28,random,54
310,greedy,19,random,35
311,greedy,12,random,63
312,greedy,21,random,42
313,greedy,9,random,47
314,greedy,14,random,55
315,greedy,10,random,61
316,greedy,22,random,23
317,greedy,20,random,55
318,greedy,20,random,29
319,greedy,23,random,32
320,greedy,17,random,42
321,greedy,19,random,46
322,greedy,23,random,31
323,greedy,15,random,54
324,greedy,18,random,33
325,greedy,16,random,62
326,greedy,22,random,23
327,greedy,21,random,53
328,greedy,23,random,47
329,greedy,25,random,28
330,greedy,14,random,51
331,greedy,29,random,50
332,greedy,16,random,37
333,greedy,13,random,37
334,greedy,18,random,24
335,greedy,36,random,39
336,greedy,32,random,42
337,greedy,24,random,51
338,greedy,24,random,53
339,greedy,27,random,45
340,greedy,26,random,39
341,greedy,20,random,55
342,greedy,17,random,47
343,greedy,15,random,44
344,greedy,9,random,41
345,greedy,12,random,49
346,greedy,19,random,46
347,greedy,19,random,38
348,greedy,21,random,43
349,greedy,16,random,50
350,greedy,13,random,51
351,greedy,20,random,43
352,greedy,18,random,29
353,greedy,19,random,34
354,greedy,22,random,57
355,greedy,24,random,47
356,greedy,17,random,52
357,greedy,22,random,28
358,greedy,14,random,57
359,greedy,17,random,27
360,greedy,17,random,51
361,greedy,19,random,31
362,greedy,29,random,24
363,greedy,14,random,49
364,greedy,27,random,44
365,greedy,21,random,33
366,greedy,18,random,34
367,greedy,24,random,28
368,greedy,19,random,43
369,greedy,25,random,20
370,greedy,34,random,28
371,greedy,8,random,56
372,greedy,19,random,57
373,greedy,12,random,54
374,greedy,24,random,32
375,greedy,14,random,34
376,greedy,24,random,28
377,greedy,13,random,29
378,greedy,19,random,46
379,greedy,16,random,47
380,greedy,28,random,24
381,greedy,17,random,20
382,greedy,13,random,33
383,greedy,25,random,32
384,greedy,17,random,38
385,greedy,17,random,37
386,greedy,22,random,19
387,greedy,16,random,36
388,greedy,24,random,26
389,greedy,22,random,53
390,greedy,17,random,42
391,greedy,22,random,27
392,greedy,17,random,48
393,greedy,14,random,28
394,greedy,24,random,30
395,greedy,25,random,22
396,greedy,34,random,36
